"Kod";"Nazwa";"ogółem w km2;2023;[km2]";
1804000;"Powiat jarosławski";1029;
1805000;"Powiat jasielski";831;
1806000;"Powiat kolbuszowski";773;
1807000;"Powiat krośnieński";992;
1808000;"Powiat leżajski";584;
1809000;"Powiat lubaczowski";1308;
1810000;"Powiat łańcucki";452;
1811000;"Powiat mielecki";881;
1812000;"Powiat niżański";786;
1813000;"Powiat przemyski";1211;
1814000;"Powiat przeworski";698;
1815000;"Powiat ropczycko-sędziszowski";548;
1816000;"Powiat rzeszowski";1145;
1817000;"Powiat sanocki";1156;
1818000;"Powiat stalowowolski";832;
1819000;"Powiat strzyżowski";503;
1820000;"Powiat tarnobrzeski";521;
1821000;"Powiat leski";835;
2001000;"Powiat augustowski";1659;
2002000;"Powiat białostocki";2977;
2003000;"Powiat bielski";1385;
2004000;"Powiat grajewski";967;
2005000;"Powiat hajnowski";1624;
2006000;"Powiat kolneński";940;
2007000;"Powiat łomżyński";1355;
2008000;"Powiat moniecki";1382;
2009000;"Powiat sejneński";855;
2010000;"Powiat siemiatycki";1459;
2011000;"Powiat sokólski";2054;
2012000;"Powiat suwalski";1307;
2013000;"Powiat wysokomazowiecki";1289;
2014000;"Powiat zambrowski";733;
2201000;"Powiat bytowski";2192;
2202000;"Powiat chojnicki";1364;
2203000;"Powiat człuchowski";1575;
2204000;"Powiat gdański";794;
2205000;"Powiat kartuski";1120;
2206000;"Powiat kościerski";1166;
2207000;"Powiat kwidzyński";835;
2208000;"Powiat lęborski";708;
2209000;"Powiat malborski";494;
2210000;"Powiat nowodworski";914;
2211000;"Powiat pucki";868;
2212000;"Powiat słupski";2300;
2213000;"Powiat starogardzki";1346;
2214000;"Powiat tczewski";697;
2215000;"Powiat wejherowski";1288;
2216000;"Powiat sztumski";731;
2401000;"Powiat będziński";364;
2402000;"Powiat bielski";458;
2403000;"Powiat cieszyński";730;
2404000;"Powiat częstochowski";1522;
2405000;"Powiat gliwicki";665;
2406000;"Powiat kłobucki";889;
2407000;"Powiat lubliniecki";822;
2408000;"Powiat mikołowski";233;
2409000;"Powiat myszkowski";479;
2410000;"Powiat pszczyński";471;
2411000;"Powiat raciborski";544;
2412000;"Powiat rybnicki";224;
2413000;"Powiat tarnogórski";644;
2414000;"Powiat bieruńsko-lędziński";158;
2415000;"Powiat wodzisławski";287;
2416000;"Powiat zawierciański";1004;
2417000;"Powiat żywiecki";1040;
2601000;"Powiat buski";968;
2602000;"Powiat jędrzejowski";1257;
2603000;"Powiat kazimierski";422;
2604000;"Powiat kielecki";2246;
2605000;"Powiat konecki";1140;
2606000;"Powiat opatowski";911;
2607000;"Powiat ostrowiecki";617;
2608000;"Powiat pińczowski";613;
2609000;"Powiat sandomierski";676;
2610000;"Powiat skarżyski";395;
2611000;"Powiat starachowicki";523;
2612000;"Powiat staszowski";925;
2613000;"Powiat włoszczowski";906;
2801000;"Powiat bartoszycki";1307;
2802000;"Powiat braniewski";1204;
2803000;"Powiat działdowski";954;
2804000;"Powiat elbląski";1413;
2805000;"Powiat ełcki";1113;
2806000;"Powiat giżycki";1120;
2807000;"Powiat iławski";1385;
2808000;"Powiat kętrzyński";1213;
2809000;"Powiat lidzbarski";925;
2810000;"Powiat mrągowski";1065;
2811000;"Powiat nidzicki";961;
2812000;"Powiat nowomiejski";694;
2813000;"Powiat olecki";874;
2814000;"Powiat olsztyński";2838;
2815000;"Powiat ostródzki";1767;
2816000;"Powiat piski";1775;
2817000;"Powiat szczycieński";1933;
2818000;"Powiat gołdapski";772;
2819000;"Powiat węgorzewski";693;
3001000;"Powiat chodzieski";685;
3002000;"Powiat czarnkowsko-trzcianecki";1808;
3003000;"Powiat gnieźnieński";1255;
3004000;"Powiat gostyński";810;
3005000;"Powiat grodziski";644;
3006000;"Powiat jarociński";588;
3007000;"Powiat kaliski";1160;
3008000;"Powiat kępiński";608;
3009000;"Powiat kolski";1011;
3010000;"Powiat koniński";1578;
3011000;"Powiat kościański";722;
3012000;"Powiat krotoszyński";714;
3013000;"Powiat leszczyński";806;
3014000;"Powiat międzychodzki";736;
3015000;"Powiat nowotomyski";1012;
3016000;"Powiat obornicki";711;
3017000;"Powiat ostrowski";1160;
3018000;"Powiat ostrzeszowski";773;
3019000;"Powiat pilski";1266;
3020000;"Powiat pleszewski";713;
3021000;"Powiat poznański";1900;
3022000;"Powiat rawicki";553;
3023000;"Powiat słupecki";838;
3024000;"Powiat szamotulski";1119;
3025000;"Powiat średzki";623;
3026000;"Powiat śremski";574;
3027000;"Powiat turecki";930;
3028000;"Powiat wągrowiecki";1040;
3029000;"Powiat wolsztyński";680;
3030000;"Powiat wrzesiński";704;
3031000;"Powiat złotowski";1661;
3201000;"Powiat białogardzki";845;
3202000;"Powiat choszczeński";1328;
3203000;"Powiat drawski";1764;
3204000;"Powiat goleniowski";1615;
3205000;"Powiat gryficki";1021;
3206000;"Powiat gryfiński";1869;
3207000;"Powiat kamieński";1008;
3208000;"Powiat kołobrzeski";728;
3209000;"Powiat koszaliński";1646;
3210000;"Powiat myśliborski";1182;
3211000;"Powiat policki";664;
3212000;"Powiat pyrzycki";726;
3213000;"Powiat sławieński";1043;
3214000;"Powiat stargardzki";1520;
3215000;"Powiat szczecinecki";1766;
3216000;"Powiat świdwiński";1093;
3217000;"Powiat wałecki";1415;
3218000;"Powiat łobeski";1065;
